500
00001	吳儀寧	1686343
00002	張芷清	2991808
00003	藍嘉慧	2164914
00004	林孟涵	4378086
00005	林春榮	2185862
00006	馬國偉	4244211
00007	蔡明全	4945151
00008	張詩婷	911550
00009	林裕仁	1299691
000010	袁芸玉	1649709
000011	錢法佳	4332123
000012	陳姿穎	2340651
000013	林宗霞	1350903
000014	梁珮如	1574179
000015	陳素政	2213044
000016	黃俊真	3804770
000017	謝雅慧	4150455
000018	謝佩倫	4246825
000019	翁樂珊	4993172
000020	吳筠淳	3462999
000021	杜則儒	864145
000022	藍宇軒	1011639
000023	孫婷婷	3056193
000024	陳盈龍	1950426
000025	劉山光	3904630
000026	連怡靜	467527
000027	溫淑梅	2297571
000028	吳子翔	508723
000029	陳慈季	4415008
000030	黃志音	641075
000031	施淑美	2613990
000032	鄭英禮	2351022
000033	林政紹	1475420
000034	宋逸凡	1045122
000035	張侑安	923261
000036	劉珮珊	1020475
000037	支瑋婷	1831596
000038	洪惠雯	2608005
000039	游佳蓉	4735608
000040	陳如銘	4168531
000041	吳雅芳	2268199
000042	何詠昇	4225303
000043	李鳳芳	4699883
000044	林宜人	342053
000045	馮枝筠	2025541
000046	蕭嘉芝	3324806
000047	沈康來	4082173
000048	朱雅萍	1366615
000049	賁紀丞	2110890
000050	蔡子芸	3688468
000051	楊志杰	1710487
000052	沈敬穎	2460019
000053	孫樂柏	3086918
000054	陳夙君	1091697
000055	李俊男	2615069
000056	黃珮昆	378684
000057	林芳夫	829193
000058	黎茹意	1502804
000059	許聖岳	2737378
000060	林柏成	4033675
000061	宋勳群	2538591
000062	賴琪嬌	1527776
000063	陳家瑜	3631280
000064	吳夢隆	1236176
000065	張宜靜	3702308
000066	黃昱萍	472364
000067	喬慧君	3211308
000068	洪豪旺	632135
000069	謝妤泉	2489529
000070	黃惠民	2874252
000071	吳玉婷	3767018
000072	林哲嘉	1670948
000073	姚柔吉	2025881
000074	呂益剛	2772540
000075	吳嘉良	800840
000076	井惠美	1083572
000077	王秀珍	2604806
000078	張哲春	4537447
000079	張敬蘭	2667550
000080	盧韻如	338425
000081	陳世冰	1293706
000082	張中齊	1948798
000083	林秋達	3655841
000084	陳玟君	4245231
000085	黃秀喜	994917
000086	陳康臻	1626105
000087	郭淑慧	1514399
000088	林宛玲	4291224
000089	楊清彥	4736462
000090	蕭佳燕	4469359
000091	高嘉輝	962255
000092	黃家豪	2082239
000093	孫上憲	580232
000094	蔣佳怡	4534952
000095	郭香凡	2229686
000096	蔡明鑫	3538271
000097	謝法名	4977545
000098	劉玉諭	4811543
000099	李佩彥	3026278
0000100	林婉婷	4122608
0000101	林承翰	2208329
0000102	李志利	4935450
0000103	陳佩芳	877843
0000104	璩佩珊	1514514
0000105	林欣怡	3845354
0000106	陳嘉惠	4390979
0000107	洪佩芳	4102751
0000108	柳惠玲	2100245
0000109	劉得宇	3963936
0000110	劉佩珊	918181
0000111	朱志文	3952963
0000112	陳宣穎	4012895
0000113	葉珊柔	1143871
0000114	王雅宇	1612959
0000115	林人紫	4437075
0000116	吳怡君	1536815
0000117	李侑琬	1907626
0000118	陳雅雯	4471825
0000119	戴俊宏	451647
0000120	賴幼泉	1629475
0000121	楊昕愛	1275405
0000122	芮志遠	4365161
0000123	阮恭玲	695918
0000124	周怡廷	2694091
0000125	陳佩怡	1887459
0000126	王詩城	4660752
0000127	侯鈺生	353968
0000128	蔡軒恒	1403022
0000129	鄭崇惟	2826073
0000130	鞏智鈞	3038902
0000131	滑承穎	953506
0000132	黃泓妏	2652702
0000133	李敬勳	3066702
0000134	黃聖琬	3487870
0000135	劉美福	713428
0000136	林郁孝	1879243
0000137	璩介妮	2255454
0000138	陳人豪	585520
0000139	盧家瑜	3207856
0000140	楊安琪	2457114
0000141	簡珮珊	1522084
0000142	宋鈺行	1019031
0000143	陳至鴻	2131369
0000144	袁夙芷	373130
0000145	高宣菁	3589606
0000146	郭俊青	4338245
0000147	鄭兆香	1292732
0000148	程憲睿	1357690
0000149	謝孟嘉	1211207
0000150	蘇梅卿	1120330
0000151	趙姿亞	1258568
0000152	錢函真	4076164
0000153	蕭玉芳	3392814
0000154	吳玟君	3920575
0000155	王欣怡	3247298
0000156	曾怡伶	317007
0000157	李雅惠	2238641
0000158	鄭志華	904286
0000159	吳雅妤	898600
0000160	王育瑋	4538079
0000161	劉家瑩	2913043
0000162	吳文傑	2980205
0000163	羅家豪	3381554
0000164	孫佳穎	4767385
0000165	柯瑩娥	3087426
0000166	蔡姿吟	1419947
0000167	陳彥欣	4968392
0000168	施晏尹	4924978
0000169	劉佩穎	2878106
0000170	陳信宏	3779477
0000171	楊薇堅	4599808
0000172	黃琬平	1921469
0000173	丁志銘	4042427
0000174	莊雅惟	2988882
0000175	潘佳宏	2459504
0000176	賴璇禎	2433272
0000177	陳鎮瑤	4823191
0000178	陳國偉	4557898
0000179	林美東	1153189
0000180	方恒蕙	2774542
0000181	張家榮	2371103
0000182	余妍豪	2653835
0000183	陳姵昌	1406459
0000184	張祐財	2342661
0000185	周如君	4011472
0000186	張興卉	3122667
0000187	伊雨茹	4039756
0000188	張郁婷	2956114
0000189	林偉婷	551180
0000190	王政鴻	1703200
0000191	陳明汝	4847196
0000192	盧欣潔	3575517
0000193	鐘家慧	3677542
0000194	周伊淑	4486941
0000195	王祐紋	1205075
0000196	蔡淑星	3477765
0000197	簡誠裕	1171635
0000198	陳紹香	4595615
0000199	李良佩	4583300
0000200	林宗佩	1700255
0000201	李馨儀	1944493
0000202	陳雅孜	1077314
0000203	黃昱全	2027729
0000204	蔡隆福	1235695
0000205	吳吉凱	3091706
0000206	鄧雅芬	3282147
0000207	陳景翔	2524184
0000208	李侑瑄	1733975
0000209	張玉俐	963339
0000210	貝舜文	1129560
0000211	李育欣	1549756
0000212	陳致善	1417534
0000213	賀金行	3979766
0000214	陳麗美	3674145
0000215	黃馨星	741821
0000216	孫美慧	366017
0000217	楊雅岑	677771
0000218	張玉婷	2358888
0000219	鄭浩昆	4650602
0000220	袁瑋雨	3568480
0000221	林家維	4221322
0000222	馮江湖	1177427
0000223	阮江堯	799285
0000224	張千惠	935204
0000225	黃玫勇	4940259
0000226	黃勇洋	4318593
0000227	林耀德	2927454
0000228	周珮珊	3670251
0000229	吳毅新	2040388
0000230	王雯榮	4934397
0000231	羅聖傑	3348423
0000232	金春娥	1474912
0000233	吳品恆	4182707
0000234	黃靖辛	4306820
0000235	洪維倫	456439
0000236	林韋妮	4876233
0000237	邱宣胤	2216519
0000238	王芸昇	3590525
0000239	蔡淑芬	4035447
0000240	王詩雅	4403379
0000241	傅冠儒	957127
0000242	阮大豐	801831
0000243	蔡菁發	4830797
0000244	吳明昇	3465572
0000245	李俊云	4776347
0000246	陳行利	1341691
0000247	劉怡政	1991212
0000248	許雅惠	856338
0000249	楊韋廷	3637709
0000250	林培聿	4246574
0000251	周宜欣	3322095
0000252	王淑琴	4980276
0000253	吳子邦	1578436
0000254	廖家綸	1977899
0000255	靳信源	696728
0000256	何佩君	4603127
0000257	鄭博文	1844307
0000258	劉夙然	2304097
0000259	陳柏青	3383073
0000260	葉馨文	3258150
0000261	鐘怡君	3372343
0000262	林柏豪	4233530
0000263	陳佩函	4773117
0000264	陳家雪	4850283
0000265	吳麗慧	2426196
0000266	周俞英	3974302
0000267	李翰儒	4210653
0000268	簡佩芸	889411
0000269	吳佳蓉	359710
0000270	簡玟原	1757298
0000271	陳韋亞	1784493
0000272	宋萱來	376103
0000273	翁佳穎	4168021
0000274	王佩珊	1629447
0000275	陳思婷	379788
0000276	張雅祥	1875291
0000277	陳麗強	2733677
0000278	吳孟沛	318639
0000279	陳雯啟	2223537
0000280	賴怡婷	4701217
0000281	陳思翰	438005
0000282	高雅君	4593003
0000283	郭政哲	2107378
0000284	郭雅玲	2274570
0000285	鄭淑婷	4839452
0000286	沙俐男	4264235
0000287	陳育舜	2481089
0000288	方芷甫	1658107
0000289	路啟幸	1844350
0000290	藍吉毓	1104063
0000291	馮俊佩	4493714
0000292	王宗翰	1446441
0000293	王坤均	2826903
0000294	劉佩璇	2147370
0000295	蔡志豪	1576313
0000296	陳淑斌	2544746
0000297	柳雅旭	3409165
0000298	蔡宗聖	2033642
0000299	毛怡欣	3326390
0000300	袁祥志	4582793
0000301	劉欣怡	4509630
0000302	林冠廷	3584888
0000303	杜名惟	4865202
0000304	翁國榮	2842097
0000305	劉有甫	1506547
0000306	黃聖怡	1353022
0000307	林彥珊	4204043
0000308	曾佳慧	1461188
0000309	駱美惠	4058140
0000310	杜禎芳	3382843
0000311	張怡廷	918582
0000312	陳皓胤	4620568
0000313	吳俊達	1562749
0000314	李俊能	2552389
0000315	林惟友	2553254
0000316	林姿婷	1893607
0000317	陳信蘋	2234773
0000318	游偉成	1493876
0000319	李欣新	2774844
0000320	黃冠祥	967270
0000321	李建瑋	2454294
0000322	張亮妍	4235366
0000323	黃穎娥	4353022
0000324	張世盛	4982638
0000325	陳建皓	3057214
0000326	許惠亨	588585
0000327	陳佩吟	2232693
0000328	曹火姍	3729544
0000329	江秀娟	686663
0000330	馮康貴	4653614
0000331	黃怡禎	2132263
0000332	何展貴	4176636
0000333	蔡德聿	2683537
0000334	王嘉恩	3508689
0000335	林惠卿	659324
0000336	姚坤雅	4337989
0000337	張曉人	1390290
0000338	曾書瑋	4420140
0000339	陳建廷	3085005
0000340	林惠瑋	2097877
0000341	江至樂	3171232
0000342	吳家隆	4286382
0000343	王品希	1925002
0000344	葉建成	2261078
0000345	傅思妤	2330961
0000346	古偉銘	4343152
0000347	李信妏	1231394
0000348	吳明季	2764453
0000349	張雅行	493913
0000350	宋凱元	1385716
0000351	邱柏翰	3166323
0000352	林智枝	3099321
0000353	趙雅萍	4312219
0000354	黃協蓮	2573984
0000355	高佩君	3867427
0000356	楊鈺謙	635856
0000357	林曉生	1497166
0000358	余郁恒	476328
0000359	蔡冠志	3706230
0000360	詹沛東	1370645
0000361	謝佳儀	3370462
0000362	薛佳穎	3936835
0000363	錢俞芷	2846131
0000364	王欣怡	4967232
0000365	陳春彬	3219292
0000366	侯俊豪	2828258
0000367	陳雅宇	3434295
0000368	王耀文	2792008
0000369	林俊奇	3155639
0000370	羅雅慧	4258183
0000371	許瑋倫	4880961
0000372	蔡雅芳	839082
0000373	冉雅芬	3366428
0000374	周彥翔	3205171
0000375	楊信宏	4629498
0000376	劉舜揚	4278463
0000377	李雅玲	4204696
0000378	楊清珍	2958485
0000379	吳明梅	1330579
0000380	焦莉群	4084781
0000381	王定鈺	484493
0000382	吳建宇	2857478
0000383	金建彰	1223784
0000384	宋嘉鴻	4291461
0000385	盧盈如	1351894
0000386	王志名	4361787
0000387	李佳慧	1134860
0000388	王雅茹	4614886
0000389	謝瓊慧	486087
0000390	林忠辰	4859793
0000391	張佳儒	2398290
0000392	鄭博仁	4340690
0000393	陳慧琇	830773
0000394	吳思甫	673323
0000395	潘科玄	941095
0000396	羅佐萱	3821334
0000397	謝誠凱	324237
0000398	錢宜真	4132915
0000399	鄭惠文	2634781
0000400	陳佳玲	379054
0000401	詹新強	1344145
0000402	陳明憲	1077623
0000403	劉子雨	1481834
0000404	姚恆樂	3192157
0000405	林瑞傑	4048563
0000406	駱俊男	3400736
0000407	王冠東	872034
0000408	鄭宣侑	3546418
0000409	林奎苓	2301016
0000410	蔡雅玲	3541899
0000411	謝怡如	1925404
0000412	陳淑慧	2466102
0000413	吳家恭	1371930
0000414	李嬌旭	2589915
0000415	酆柔琇	2122717
0000416	黎靜怡	916539
0000417	謝怡君	3296925
0000418	林佳隆	4569594
0000419	黃彥茹	1511149
0000420	饒嘉行	3565310
0000421	黃欣潔	589407
0000422	胡剛芸	4259995
0000423	林恩綸	2625984
0000424	黃建廷	1715231
0000425	陳珮仁	779344
0000426	陳智堯	3381683
0000427	黃志宏	1996640
0000428	羅怡天	1389404
0000429	王夙喜	910541
0000430	張登怡	710580
0000431	李珮妏	2749430
0000432	李欣桓	1282252
0000433	陳少青	1859788
0000434	王雅芳	3174547
0000435	王心怡	2941006
0000436	李方臻	319032
0000437	周人剛	2248420
0000438	陳家龍	1186008
0000439	蔡柏成	4544386
0000440	周靜宜	1427209
0000441	張淑美	1985050
0000442	林玄欣	3516918
0000443	王鈺雯	1343804
0000444	林阿任	1715486
0000445	張秀慧	3663620
0000446	吳麗芬	2969720
0000447	蔡怡君	1577416
0000448	洪婷中	1704462
0000449	郭勳杰	1004198
0000450	蔡建德	837572
0000451	毛妍剛	2944928
0000452	陳怡婷	4835061
0000453	黃淑芳	2810069
0000454	曾建中	1286506
0000455	李雅惠	2946510
0000456	林惟春	3214765
0000457	卞和龍	1997529
0000458	黃林宸	2569741
0000459	林碧歡	1242033
0000460	毛炳謙	3965459
0000461	孫采寶	3345768
0000462	林佳瑩	1739492
0000463	李智堯	369713
0000464	張俊賢	1938375
0000465	吳佩怡	4546747
0000466	洪詠政	2566507
0000467	曹怡文	4687356
0000468	陳惟淑	3054554
0000469	嵇秋萍	2417017
0000470	蔡雅玲	4593183
0000471	吳俊銘	309265
0000472	陳金宜	4298985
0000473	戴俊佑	1954605
0000474	郭科安	3179998
0000475	王柏豪	1996776
0000476	柯丞岑	1398779
0000477	劉恒秋	3204474
0000478	鄭柏翰	3656813
0000479	王羽原	1325308
0000480	周志偉	3866422
0000481	林苑芸	2551492
0000482	李容妤	2448175
0000483	李淑娟	3937558
0000484	陳英傑	405813
0000485	王曉玲	2643575
0000486	黃莉音	3337144
0000487	蘇怡伶	546492
0000488	吳秉生	4467987
0000489	柯明雲	349200
0000490	葉朝成	1111597
0000491	吳鈺婷	4806505
0000492	張志伸	2912034
0000493	黃雅冰	737707
0000494	陳耀德	888822
0000495	周佳怡	3359273
0000496	鐘惠珍	921103
0000497	謝旭利	2382323
0000498	許孝娥	3682891
0000499	劉麗君	4414035
0000500	李宜珮	3639290
41
0000238	王芸昇	00002	張芷清
0000239	蔡淑芬	00003	藍嘉慧
0000240	王詩雅	00004	林孟涵
